"","observationUnitName","germplasmDbId","variable","value","resids"
"665","Pr4_Urb_18-plot277","96783","Lodging.incidence...0.9.percentage.scale.",1,-3.03672975180995
"62","Pr5_Urb_19-plot162","100799","Grain.test.weight...lbs.bu",44.3,-3.7180075315293
"1271","Pr5_Urb_19-plot243","100799","Grain.test.weight...lbs.bu",54.7,3.71800753152939
"89","Pr6_Urb_19-plot189","100665","Grain.test.weight...lbs.bu",40.3,-3.34224670446557
"103","Pr6_Urb_19-plot207","100665","Grain.test.weight...lbs.bu",55.8,3.34224670446553
"116","Pr_Sbmv_20-plot216","240512","Soil.borne.mosaic.plant.response...0.9.Response.Scale.",2,-3.83469203565978
"431","Pr_Sbmv_20-plot531","240512","Soil.borne.mosaic.plant.response...0.9.Response.Scale.",7,3.83469203565977
"52","Pr_StJ_20-plot105","240825","Grain.test.weight...lbs.bu",48.2564012809413,-3.98100397967404
"198","Pr_StJ_20-plot330","240662","Grain.test.weight...lbs.bu",60.0834858781553,3.47379081342017
"226","Pr_StJ_20-plot358","240825","Grain.test.weight...lbs.bu",60.0360827316088,3.98100397967409
"407","Pr_StJ_20-plot571","240662","Grain.test.weight...lbs.bu",49.0385531678827,-3.47379081342013
"782","Pr_Urb_20-plot312","240646","Grain.test.weight...lbs.bu",58.1162553741652,-4.42821830166107
"1113","Pr_Urb_20-plot763","240646","Grain.test.weight...lbs.bu",65.4163396548746,4.42821830166115
"53","SU_Scb_19-plot105","100986","FHB.DON.content...ppm.",57.7,3.44838743233074
"65","SU_Scb_19-plot223","100986","FHB.DON.content...ppm.",33,-3.44838743233401
"41","UE_Urb_18-plot104","85074","Grain.test.weight...lbs.bu",51.6,-3.37435779799352
"241","VT_Scb_19-plot1024","101022","FHB.DON.content...ppm.",37.1,3.96341595598467
