"","name","Grain.yield...bu.ac","Grain.test.weight...lbs.bu","FHB.grain.incidence.....","FHB.incidence.....","FHB.severity.....","Heading.time...Julian.date..JD..","Plant.height.inches","SBMV","balancedIX","ranking"
"6","18-10212",0.930995228799844,0.568245944730442,-5.05494433597338,-10.963745670367,-14.1774789881916,0.146359026747319,0.517930084539561,-0.542669734795938,1.27419801142681,137
"7","18-10216",1.96046158878636,-0.0992413925389783,4.26433650893737,10.3473842701163,14.3872087346792,-0.0304385475307356,0.251741526678714,-0.00297496018830579,3.3042596268361,108
"12","18-10768",2.59960945007796,0.736607820020403,2.40516132981263,7.52325868245062,11.1020182766229,-0.699027884929563,0.321281592421908,-1.34866387776016,7.69871542012364,50
"16","18-11122",-5.87901794639342,0.0535797111831116,-3.6767632290816,-11.4261685479827,-15.0772642571636,-3.62848101924115,-0.507768436154915,-0.156596824461533,1.22876020937749,139
"22","18-12001",4.75675295225324,0.419503893740362,-1.66004008495991,-2.4452138053222,-0.713949490139697,0.133869458352763,1.04686552615562,0.366608480263887,8.4802463049865,42
"23","18-12022",5.57586386280131,0.0265205563252948,2.76379253856368,7.15341202135377,9.61276822389392,2.01673662168247,0.351213912746893,0.826646528727328,4.87708928959116,83
"26","18-1250",-0.957123807846315,0.906378039760646,-1.59162986894667,-6.590545665762,-7.0881601569005,-1.42717671393189,0.0970272444860143,-0.960644492485508,3.36935907545638,107
"30","18-12627",-0.624647041441548,0.967380113781687,-0.829469131732413,2.31686845395041,3.47747033807409,-0.856111434397576,0.157193866569763,0.236438877234841,1.5210209627822,135
"34","18-12756",4.90854903654099,0.445754047657736,-4.2629323229058,-14.6903346399967,-17.749880541429,1.37932397074641,0.576551939046286,2.56651400878856,6.85391970875318,61
"35","18-12772",7.048449478599,-0.632930229031118,-1.30003343722543,-3.72496877915564,-4.59977270121198,1.37866542788601,0.549793818301495,-0.0198851892659562,10.7240142849448,30
"36","18-12804",2.5388300468267,-0.962680476230098,-2.44736874203868,-10.7214964476384,-15.750781892686,0.91976706103236,-0.892846205910782,1.17771001762438,6.22097826961411,67
"37","18-12809",6.15699561840071,0.210772796442704,-4.45198712149017,-11.6475270325636,-14.0470971137141,0.72602094424235,0.692080130244253,1.18553645382715,11.6129821596681,25
"38","18-13012",3.45145095605319,-1.81502586471639,2.50639173737021,-1.45054971338477,-3.56362056205963,-0.162917532376753,-1.37818314491676,0.349189030734306,12.7334196927764,16
"39","18-13061",2.58050786401654,0.691915304532181,0.310701091818203,4.59983724414881,8.13655205414801,0.673667312578402,0.815177085804429,0.350400241998089,1.41176338147647,136
"45","18-13635",5.97267822944896,-0.460928030255076,0.519705260125434,2.57621716846391,4.82983273354852,1.67028939998903,1.06191235772868,0.436974221524094,4.96167317062366,80
"48","18-13748",3.02502875091884,-0.689510425222402,-3.16098576820844,-4.97572679801891,-5.53805322632305,-0.464749587820791,0.754310895054974,0.299319743976958,7.00321926440413,59
"49","18-13756",1.26544810472333,-0.195034437028959,-3.84193358708599,-11.496799669215,-15.1507213839531,-0.514451423124484,0.198981882581233,-2.59322039081161,4.95194367849401,81
"51","18-13765",2.90999791931581,-0.141191142095444,-2.96754199643038,-7.84634189256995,-9.65451046578209,1.41457498987555,0.42506062508976,0.360642637423369,1.25287501403596,138
"53","18-13852",5.13838693193716,0.397185104381762,-2.7625421792756,-4.41648527510915,-6.33746407326257,2.21946499659884,0.474382483004796,-1.35225657969499,3.60428616150828,102
"54","18-13954",2.88856488670821,0.328010704274114,-1.48950980386107,-0.470074383350543,-0.172191031718164,1.03118165759764,0.487374920434814,-0.953625731503749,2.02199975762107,129
"56","18-13965",7.49060698218514,1.20638487696987,-4.12458888653029,-10.007311057413,-12.4764237824719,2.52474983571662,0.519230814468827,-1.36854569205284,8.98696546685441,37
"57","18-14035",4.08806253137799,-0.00230845066784724,-2.05861752209292,-7.69644275164477,-8.99190487257833,-0.166695851797868,0.16721729845667,0.346943138038865,10.8696241448322,28
"58","18-14054",2.8555760154196,-0.936526054805739,-1.73437411512019,-6.78047095593742,-8.97171199960831,0.733328130752994,-0.225898476669428,1.16116098423734,5.28326496670346,77
