"","name","FHB.DON.content...ppm.","FHB.grain.incidence.....","FHB.incidence.....","FHB.severity.....","Grain.test.weight...lbs.bu","Grain.yield...bu.ac","Heading.time...Julian.date..JD..","Plant.height.inches","SBMV","balancedIX"
"202","17-19939",-3.21705818795542,-11.3251030295474,-17.8057387732251,-16.6359782168935,0.611522182022895,-15.2879847646247,-2.25247001792371,-2.50254720938832,-0.745962426027202,-24.4129374217065
"203","17-20035",-1.26602289396681,-0.332577313842641,6.24139288587922,5.69376337673089,1.17580172197201,-5.34717355939118,-0.873680891600088,-2.76136064718811,-0.366335918826984,-31.2679424690542
"207","17-20346",1.15761735441378,7.43362541075903,-1.73378226739857,-4.04068944270102,-1.18112717447348,1.55310520022893,-0.183815186720892,-1.58997339608662,-0.557432264223624,13.3047989364944
"209","17-20426",2.29238166925315,11.8491058945817,5.19720502656907,3.11301949990659,-0.317420904362386,8.86987166457835,0.701339407774441,-1.01813585168291,0.265032128053949,29.2371874022082
"210","17-20472",-3.11746821932486,-6.38863380990966,-19.0830065391671,-13.4650720139976,0.155662440163482,-9.61123438084646,-2.91251353046559,-2.39861859045418,-0.447833251883822,2.99218338953882
"218","17-21447",-1.20081141285329,-3.00011258535992,-13.6301758269538,-9.08079659290764,-1.06514126504105,-1.84259380182475,-1.29300936002727,-0.299024700850602,0.296441758714753,19.949621992747
"221","17-21812",-1.41394110677144,-5.5508811720991,-3.60851654485048,-0.420317144399021,1.21242946749435,0.386939695996233,-0.269944282081696,-0.639107278037265,0.816879663917166,8.56434211922363
"232","17-22168",0.25149469185547,-2.2942812197786,-4.72985179116323,-12.9322545695745,0.500801597373815,0.461105348562768,-0.288060199078075,-0.936171603743851,0.0419097459097255,26.025529916035
"247","17-23868",-2.15488067360921,-2.1275776369577,-14.8525231025774,-11.8463281369571,1.02598792358128,-1.53229629882769,-2.87644713591385,-0.910853842604403,-0.79636680634443,37.6735874771646
"248","17-23874",0.0140224364241774,-2.93383751337295,6.94999342716667,8.16789918557254,-0.0533302763278698,14.0760456142943,1.88727659649567,1.77331777111909,-1.15588990512245,43.5824191773046
"249","17-23902",0.172371369098826,-3.31854589181236,3.942494816902,-1.07904046721019,0.575657852150947,11.8007296919638,0.301758575361106,2.88247111152302,-0.646831493471973,57.2877224461747
"250","17-23904",0.435629310767339,4.27333069377298,-6.55825362609375,-6.57081486282936,0.520915166136582,11.1470233453501,-0.773557137084907,1.31746253520198,-0.821246950214703,72.9093038594743
"252","17-23912",-1.30065119031999,-10.9131197095054,-13.0828219856707,-3.04703806383708,-0.636802175359271,4.03590023388092,1.42743877439034,4.20770783834563,-1.19961269151949,24.8003986852445
"255","17-24508",-3.39419130504642,-11.43902657211,-25.1863068274041,-15.9458353694673,0.575322552575365,-2.00004806257881,-3.11578049769327,1.56657280957568,1.1922366761737,50.0321043797136
"257","17-24663",0.637728827605795,-2.12100901143973,-10.3136872225802,-12.7649781381799,-0.639267702844258,6.96698025233214,0.210027706841345,1.71868935950312,0.340660505767207,57.1337840612886
"260","17-24977",-2.89510280307098,-12.7919295348838,1.15871581402611,9.58564086363811,-0.849589056730231,-1.86705923837445,0.146593874025115,0.633645419765614,0.413132689887714,-21.4231774102989
"263","17-25205",-1.91939992323122,-15.6466983875219,-18.9757330866442,-18.6972131154559,1.04408507222313,7.81593611840177,0.434429001585613,0.89151190138751,0.488910158328033,78.0129050970961
"265","17-25738",0.591798194117406,-5.59017908814215,0.549424384318414,-7.46127531416651,1.96855471117216,-3.051003754227,0.159295824296919,2.23786488462432,1.43482613998078,-4.34209586754305
"267","17-25927",2.5701936959566,-5.88484999295758,-12.9570963865807,-23.0913740077821,1.47845914511873,3.84579641241569,2.79857425205449,1.95677607145493,1.74522211315082,42.3106666306135
"268","17-25930",-1.75379629615901,-7.68225093191819,-16.8252176943626,-15.7733403832042,1.1240371720925,-5.88808932129042,-2.39659709441887,1.05860901137857,1.28297729024436,20.0957953574457
"272","17-26647",0.0144223074803129,-3.82006775472687,3.05381545661086,-0.16705028492396,0.365454817122156,4.0944030622525,0.288120245718147,1.9631048759646,0.0852965330513475,18.0172734125876
"273","17-26648",-0.852387217883198,-4.47500419232672,4.93721363496243,3.74143124757367,1.09077765192411,4.82469331394653,-0.966053742498815,1.62678597071584,1.73022538741581,23.6843117989617
"274","17-27510",-1.64925787891731,-5.18754980011381,-2.45170044964725,1.58466256266948,0.894162461654361,2.3430164704545,-0.844548974056977,0.489985328399641,0.466738757515929,18.2463266671896
"275","17-27559",-0.15086702560949,-8.24680660020231,-6.53901768007957,-12.0717923907622,0.365757001751376,8.40604403384364,1.10420052022582,0.746844321301964,-0.289605434452707,57.9406406605518
"278","17-27649",0.582765908227351,-2.87277504381473,-18.0931292939086,-18.6605798567069,-1.50695452567685,5.52432077308472,0.902021868994439,0.408816523848529,-0.532363453339714,58.1979414167873
"279","17-27660",-1.90655705108286,4.04091253538989,-10.95733064245,3.36304227070429,0.0305988197863982,0.9179453581188,-3.07473564411677,0.978927041883651,0.260616280921419,24.9900077779003
"282","17-27914",-1.81524236668597,-12.0427314594155,-3.06402322963584,-3.53629543833099,2.13587495085371,2.69475950955884,0.0375145545700661,0.796874751471805,0.982900093989524,24.1726179807426
"283","17-28445",-0.912243168129834,-11.992959331644,-6.8849670293939,-6.57840312335051,-0.349203590296717,4.4325604948974,1.2647359028384,1.34636620223513,0.84835718734565,29.8214125633252
"284","17-2920",-0.0662806345748628,-6.89522721979301,5.14422270521733,-4.69405042390374,1.16832980778445,6.96866759661231,0.718103185248452,0.184166395187809,0.205864946303893,36.3436514152641
"289","17-29513",-3.20473801208341,-5.87875989372093,-20.6333512282476,-5.07487125058025,-0.979514650031369,2.84615143813909,-2.3309747446317,0.344816830936949,0.258012624158441,49.4484448249196
"290","17-29544",-3.70509590549576,-12.2862521202469,-21.1129165377984,-17.0069273319638,0.00325624037272121,-0.444222375703987,-2.79494516893843,-1.10655066943286,-0.00497857657581324,55.5507576396623
"297","17-30178",0.101127703551221,0.593412904205003,-16.8938554665438,-13.592926963663,-0.0194134597825268,-4.47395071568552,-0.942787223263679,1.25877215268609,-0.065641749550748,11.9531122160578
"298","17-30209",0.495734605759022,-6.12054507876236,5.61796192231598,-1.6796698544027,0.860813888159228,5.15832610303241,1.82057937015185,0.207024960024988,0.525324665178985,15.1254049608938
"299","17-30219",-1.22197227074066,-12.8376603738133,-4.30251376719016,-1.3258800587135,0.174336246891365,5.76414464375007,1.46853620586859,2.56201146497267,0.46789192495178,26.7424893867718
"301","17-30322",-0.147076578131745,0.767575827897822,5.09564388691503,2.63587029452822,0.528947579847518,-3.66619834534356,-0.0398298638150436,-0.139532638657933,-1.89643593829066,-24.2588471438117
"302","17-30333",-1.43567836888613,-2.40289273414666,-2.90001700527691,1.65558265305635,-0.937981576353231,0.777161052119681,-0.933546170051471,0.136879667697123,-0.82718404165197,9.66069365808534
"303","17-30335",-0.598310979697484,4.11715430982252,-2.60149182607562,-4.09901204398868,0.762459893405222,-1.7913953042367,-2.42781497123727,-0.539286718006473,-0.762097324870237,13.6270027806788
"309","17-31124",-5.29173020835574,-15.1994504667435,-22.5626963130233,-7.67742399287636,0.653451144830079,-0.833696184775746,-2.25460418114935,0.500565280776165,-2.7309065808535,39.2950291362887
"312","17-31229",-2.86166758282529,-15.3704334209885,-23.9378378169233,-22.148788912679,0.654451394484177,1.3423191173935,-1.08390248596911,0.598185493004671,-0.722984409370276,63.1330494024286
"315","17-31374",-2.87652400358349,-13.8899303230042,-23.177920814892,-18.0564844956154,0.56457696813883,-5.48416203253001,-0.0460297341157911,-0.790409502972302,-2.35649716104476,16.076860912867
"318","17-31541",-2.1823342506972,-15.665808907179,-14.7788112704077,-5.63504958566903,0.387755067148767,7.98408197106311,0.992876639079014,3.12998421492785,0.820210008379432,53.7479227095383
"319","17-31555",2.47602709442364,4.78973421170375,-0.298127607743552,-1.93860977720361,0.512303422896693,11.1191936967965,2.26714162999045,2.54824921030475,-0.420132455362097,42.3512483695715
"320","17-31616",-0.744784304509274,-1.36577314430659,-7.84987241519626,-4.98449766071692,-0.268850630411542,2.76887256674124,-0.804768105612766,-0.167510981437324,0.32195619388357,30.8215904697904
"328","17-4326",2.64840000566587,1.89937635460668,16.3480556217119,3.47982342683468,-0.0521825381270915,7.59834011423317,2.46755562016844,-0.128258049649098,1.30581460186864,6.92817498885715
"339","17-5643",6.07978912879299,16.6544624094453,-2.68911605168604,-14.7457953798471,-2.43028730451779,8.3426956550131,4.18429419802277,0.459927990243465,-3.39093000515477,31.1105851605462
"343","17-6412",-2.92587154398798,-16.7176334871428,-0.517646080829593,-0.527602158257601,1.23029037777471,-1.76239254100368,-0.990526078729175,1.1037624054585,2.20591249841077,3.39420012674747
"347","17-6863",-2.50539343324629,-14.2976041823211,-6.18235381933217,-1.9188552286174,0.706373065184941,0.0511409508817451,-0.243066488728658,0.913886983648119,1.6752022172371,11.9719038234437
"351","17-7136",-2.39584171437468,-7.03083674050198,-3.64372456447006,-2.05368930767181,1.02798136047582,-7.47005263958313,-1.48316881938416,-0.722222803231752,-1.05543677333953,-19.9359379692052
"369","17-7976",-1.99027276310597,-4.1572423958678,-8.30594457220796,-5.49610705977602,0.834596062836845,-3.26354775914346,-2.13145406312921,-1.92310477291361,1.590700371463,11.6914134929371
"370","17-7978",-0.661817843589496,-1.448073431532,5.75436314568842,10.9884200532861,0.193078057032132,9.66359377596926,-0.633838707699454,2.87562716513828,1.62034002902298,33.6643536885284
"371","17-8004",-4.48911404108155,-10.6945018616499,-1.17189231334243,10.1754355162503,0.641543411260621,-4.70101297062136,-2.71755832489998,-0.9933779829773,1.25716052720817,-15.9975860885344
"375","17-8036",0.352228392424696,-9.72961207785541,4.79962190434843,-6.47631680142462,0.406507476559703,6.19691815434305,1.27643315058523,0.721178291780056,1.7629951589622,31.4646426718073
"378","17-8057",0.2892627652523,-8.81783593137343,5.38174424743866,0.464048834097227,0.660532850757654,11.5791998670898,2.15876419079021,2.17807637215286,0.897431550978785,42.4792560691067
"381","17-8143",0.856658824638181,-1.63813326103344,4.73111956656028,-1.46129085833393,-0.104725771923157,5.61061557579748,0.934781007929359,0.702803181433723,0.451726065214685,21.5255599511356
"382","17-8152",1.0719305743789,-4.96451343571567,-0.695247976363078,-6.44493597790481,0.00700990354994246,5.64606180117796,2.17441961986469,0.405218412563968,0.827399886814722,24.6268449627081
"387","17-8620",-4.13020244180066,-11.8187144693052,-20.9124051191346,-10.2217292305172,0.604079776439349,-1.64533901428253,-3.58044695301746,1.3812624084262,0.815065999598194,44.658896828986
"388","17-8626",-0.232779338062777,0.70030323692044,-9.81295064068405,-14.3981654592153,1.02864751363553,8.53595880511941,-1.83057853628367,-0.282564472919475,0.426700159942408,80.8440615236525
"389","17-8628",-2.49135082256904,-8.10383374866068,-6.7211122698689,-0.614607046344517,0.48782028252478,4.62739707905703,-1.73293039170696,2.31829253268184,0.0682262828362514,41.3626787886756
"390","17-8636",-3.13770622737233,-4.62355876645414,-16.1316975111497,-11.1393315098735,0.0152851354996102,-1.80071194643077,-3.78360696229691,-1.65984251879289,0.336543930679325,42.0806327337802
"391","17-8643",-3.03576670056787,-2.5355178871085,-12.9881043975582,-2.78537365588871,-0.207583982030215,-5.75877897169872,-3.50768756207529,-0.855013674902622,0.317074628428548,6.10986969483396
"393","17-8738",-2.51309652906821,-0.16044100955628,-19.0864875085498,-12.1461280000043,-0.416398257757763,-7.22221439148176,-4.06908475217091,-1.70556177566012,0.246725544307309,18.386813811043
"394","17-8749",-3.91285965207689,-21.7747335592656,-14.6113262391677,-8.88119585915384,0.0984937652335702,2.00684249732585,-0.330496208714521,1.45753644398495,0.498658128443904,38.7842265378512
"396","17-8824",-1.99116099280581,-20.2760651592063,-10.2992193915305,-13.4132252135759,0.288343685227133,6.462033024805,1.60832797505796,1.26041152456467,0.0985351222474842,52.0925841411464
"397","17-8831",-0.480055032644799,-11.4261945973752,-3.46290036332721,-9.45652283503782,0.212117115201806,10.2439377060254,1.25304623566839,1.18075985659302,0.519750995738044,61.3463786003203
"398","17-8832",-1.00572864146841,0.983037588526514,7.66541922274153,12.405382501665,-1.38269345364698,9.54900122781346,-1.01941503805455,0.821527159419276,0.340680747833714,31.6367911593185
"399","17-8930",-3.08601095713133,1.07897104084804,-5.61885091300217,-1.8442083743704,-1.58995507562913,-2.31384199198774,-4.70969750574412,-2.98155406521495,-0.141605661202997,24.4478494078146
"400","17-8948",-0.390681273873611,-2.53143694835001,-1.77877715791632,-4.22348170109321,-0.339346458309514,3.17981367233419,-0.316467771315388,0.198161080055627,-0.394368847399905,25.4966378597151
"402","17-9161",-1.84306906386332,-10.8938284351743,-2.60015577209996,-2.65084137188308,-0.940578594019335,-2.05423036547135,-0.0925557136705777,-0.726522675103872,0.771584120470569,-1.97731499108762
"403","17-9211",2.64863920678314,6.77409200240052,19.1766582071489,10.6631917266934,-1.11320138120998,7.64783115939544,1.56201623621669,0.608151472685236,1.20803597075934,-0.598707411565755
"405","17-9320",-2.89502133558826,-24.9726748189888,-4.01371611870452,-3.03019973791157,2.02058182861612,7.19887169641559,0.997587351030688,5.09931326609838,1.49975668961989,42.9635717739087
"406","17-9339",0.388195639036027,-12.0747334134656,-0.443168974769051,-7.2050997365246,-0.273339370768774,10.4020500574852,2.06189666412413,2.39751649260646,2.08092996955077,51.3507124117789
"407","17-9663",-1.73698934810498,-11.0481891458433,5.88242473682371,4.17885362898524,1.09173612495806,4.60929773608075,-0.266552583684103,1.46718865093515,1.37140208178345,18.823987695787
"409","17-9832",3.25585389581376,6.35463582853264,20.3771781350349,12.4126156269442,-1.25426826698347,6.13583054710445,3.06594115417829,0.769772424020822,0.74441649641577,-21.04245830964
"410","17-9839",0.729589766102489,-1.78109482040716,11.913368665613,4.77368173741971,0.161690363911596,3.59194379265378,0.519693179353482,0.332831242844811,2.0533870764783,1.25371784610596
"412","17-9968",0.144606416531076,-14.3227124484091,0.355325547130249,-8.92836899882731,1.11848045877716,5.40745054081749,2.108338564485,1.64324329711344,2.18952353322071,29.4490170995517
"414","Kaskaskia",4.89670883759652,20.6469249672697,26.8494457344701,34.1134794694899,0.0641927641333595,2.82080269204573,3.25907007462229,5.6421259695943,-0.0218101349464712,-76.9746540112317
"419","Pio25R74",2.73059879223375,12.6458690597181,30.9191190307181,28.7381741537858,-1.4493167958875,9.05108303803782,2.57362807530802,-0.223341562269887,-0.297381094236608,-33.4730181038461
"427","US16-IL-061-029",-2.83649917393897,-17.7787157853313,-21.2817514209551,-17.0801246144249,0.126309301545803,7.50995948158534,-0.448178710625683,2.95759384090044,-0.311245098015175,81.1774577070407
"430","US16-IL-061-074",-0.286149161962754,-16.1707042402782,-26.3160000615559,-25.8822719197089,0.0245651512981624,9.24711936263807,2.64550172691671,3.49868791457711,-0.735594953260516,84.2594965236711
"433","US16-IL-061-132",-1.80931017734171,2.31996051877464,-31.7211220557994,-21.8267761622398,-0.158105306071263,-0.66513699750486,-3.22739860746844,-1.28413997859753,-1.03674170065895,66.1376934009744
"439","US16-IL-061-179",1.32342173295823,26.3377515307814,10.2822356617187,17.5002676803445,-0.332085932743738,9.13574915191512,-2.65151665119092,-0.77342623283927,-2.97794014583475,26.0730864629368
"453","US16-IL-062-031",-5.57753961383089,-17.9845898425559,-8.75677204294983,-0.166384202521222,2.09822422070226,3.36047013155282,-2.86980827069829,0.426958666219555,-0.200971005961814,47.0742733156481
"458","US16-IL-062-068",-2.21432182063581,-1.24943990235382,-8.71271093223948,0.811803812540852,0.197926203151603,3.30855143954344,-1.3770772313442,0.258734491332312,-2.43322632004465,30.3820992455378
"459","US16-IL-062-071",2.25412166424751,4.58932481003493,-2.8456410501971,-6.65888027557236,-0.9289429399266,4.16506592350741,1.83535514302596,0.883311528037403,-1.21642331672558,18.0468140826241
"468","US16-IL-062-097",-2.18773407148759,-13.031556718617,-14.2722418302921,-15.8849464035432,0.759593750344024,-3.64801699839165,-0.857503440387319,-0.654190348801386,0.492112317598215,21.7391627893478
