"","name","FHB.DON.content...ppm.","FHB.grain.incidence.....","FHB.incidence.....","FHB.severity.....","Grain.test.weight...lbs.bu","Grain.yield...bu.ac","Heading.time...Julian.date..JD..","Plant.height.inches","SBMV","balancedIX","ranking"
"184","17-17739",-2.35965488312557,-23.3190407185311,-18.8305204328648,-14.2453309803236,1.84469778989723,11.9214920714562,1.82061476352746,4.39881198147052,0.971858509934131,85.0809363129615,1
"191","17-18534",-0.692290373431543,-7.65499936963199,-15.5749846115785,-14.0120977447204,0.195743485465115,9.07714621214627,1.09453786099058,0.789245655291545,-1.19351702961427,69.1798048707851,7
"200","17-19355",0.105391784954929,-7.71384021371458,-6.18354263969643,-8.90505760436201,0.345168280443524,6.42230233378338,1.46400104964229,1.67184759847217,0.0642752901378829,40.6154394740927,36
"248","17-23874",0.0140224364241774,-2.93383751337295,6.94999342716667,8.16789918557254,-0.0533302763278698,14.0760456142943,1.88727659649567,1.77331777111909,-1.15588990512245,43.5824191773046,27
"249","17-23902",0.172371369098826,-3.31854589181236,3.942494816902,-1.07904046721019,0.575657852150947,11.8007296919638,0.301758575361106,2.88247111152302,-0.646831493471973,57.2877224461747,13
"250","17-23904",0.435629310767339,4.27333069377298,-6.55825362609375,-6.57081486282936,0.520915166136582,11.1470233453501,-0.773557137084907,1.31746253520198,-0.821246950214703,72.9093038594743,6
"255","17-24508",-3.39419130504642,-11.43902657211,-25.1863068274041,-15.9458353694673,0.575322552575365,-2.00004806257881,-3.11578049769327,1.56657280957568,1.1922366761737,50.0321043797136,22
"257","17-24663",0.637728827605795,-2.12100901143973,-10.3136872225802,-12.7649781381799,-0.639267702844258,6.96698025233214,0.210027706841345,1.71868935950312,0.340660505767207,57.1337840612886,14
"263","17-25205",-1.91939992323122,-15.6466983875219,-18.9757330866442,-18.6972131154559,1.04408507222313,7.81593611840177,0.434429001585613,0.89151190138751,0.488910158328033,78.0129050970961,5
"267","17-25927",2.5701936959566,-5.88484999295758,-12.9570963865807,-23.0913740077821,1.47845914511873,3.84579641241569,2.79857425205449,1.95677607145493,1.74522211315082,42.3106666306135,31
"275","17-27559",-0.15086702560949,-8.24680660020231,-6.53901768007957,-12.0717923907622,0.365757001751376,8.40604403384364,1.10420052022582,0.746844321301964,-0.289605434452707,57.9406406605518,12
"278","17-27649",0.582765908227351,-2.87277504381473,-18.0931292939086,-18.6605798567069,-1.50695452567685,5.52432077308472,0.902021868994439,0.408816523848529,-0.532363453339714,58.1979414167873,11
"289","17-29513",-3.20473801208341,-5.87875989372093,-20.6333512282476,-5.07487125058025,-0.979514650031369,2.84615143813909,-2.3309747446317,0.344816830936949,0.258012624158441,49.4484448249196,23
"290","17-29544",-3.70509590549576,-12.2862521202469,-21.1129165377984,-17.0069273319638,0.00325624037272121,-0.444222375703987,-2.79494516893843,-1.10655066943286,-0.00497857657581324,55.5507576396623,16
"309","17-31124",-5.29173020835574,-15.1994504667435,-22.5626963130233,-7.67742399287636,0.653451144830079,-0.833696184775746,-2.25460418114935,0.500565280776165,-2.7309065808535,39.2950291362887,39
"312","17-31229",-2.86166758282529,-15.3704334209885,-23.9378378169233,-22.148788912679,0.654451394484177,1.3423191173935,-1.08390248596911,0.598185493004671,-0.722984409370276,63.1330494024286,9
"318","17-31541",-2.1823342506972,-15.665808907179,-14.7788112704077,-5.63504958566903,0.387755067148767,7.98408197106311,0.992876639079014,3.12998421492785,0.820210008379432,53.7479227095383,17
"319","17-31555",2.47602709442364,4.78973421170375,-0.298127607743552,-1.93860977720361,0.512303422896693,11.1191936967965,2.26714162999045,2.54824921030475,-0.420132455362097,42.3512483695715,30
"378","17-8057",0.2892627652523,-8.81783593137343,5.38174424743866,0.464048834097227,0.660532850757654,11.5791998670898,2.15876419079021,2.17807637215286,0.897431550978785,42.4792560691067,29
"387","17-8620",-4.13020244180066,-11.8187144693052,-20.9124051191346,-10.2217292305172,0.604079776439349,-1.64533901428253,-3.58044695301746,1.3812624084262,0.815065999598194,44.658896828986,26
"388","17-8626",-0.232779338062777,0.70030323692044,-9.81295064068405,-14.3981654592153,1.02864751363553,8.53595880511941,-1.83057853628367,-0.282564472919475,0.426700159942408,80.8440615236525,4
"389","17-8628",-2.49135082256904,-8.10383374866068,-6.7211122698689,-0.614607046344517,0.48782028252478,4.62739707905703,-1.73293039170696,2.31829253268184,0.0682262828362514,41.3626787886756,35
"390","17-8636",-3.13770622737233,-4.62355876645414,-16.1316975111497,-11.1393315098735,0.0152851354996102,-1.80071194643077,-3.78360696229691,-1.65984251879289,0.336543930679325,42.0806327337802,32
"394","17-8749",-3.91285965207689,-21.7747335592656,-14.6113262391677,-8.88119585915384,0.0984937652335702,2.00684249732585,-0.330496208714521,1.45753644398495,0.498658128443904,38.7842265378512,40
"396","17-8824",-1.99116099280581,-20.2760651592063,-10.2992193915305,-13.4132252135759,0.288343685227133,6.462033024805,1.60832797505796,1.26041152456467,0.0985351222474842,52.0925841411464,18
"397","17-8831",-0.480055032644799,-11.4261945973752,-3.46290036332721,-9.45652283503782,0.212117115201806,10.2439377060254,1.25304623566839,1.18075985659302,0.519750995738044,61.3463786003203,10
"405","17-9320",-2.89502133558826,-24.9726748189888,-4.01371611870452,-3.03019973791157,2.02058182861612,7.19887169641559,0.997587351030688,5.09931326609838,1.49975668961989,42.9635717739087,28
"406","17-9339",0.388195639036027,-12.0747334134656,-0.443168974769051,-7.2050997365246,-0.273339370768774,10.4020500574852,2.06189666412413,2.39751649260646,2.08092996955077,51.3507124117789,20
"427","US16-IL-061-029",-2.83649917393897,-17.7787157853313,-21.2817514209551,-17.0801246144249,0.126309301545803,7.50995948158534,-0.448178710625683,2.95759384090044,-0.311245098015175,81.1774577070407,3
"430","US16-IL-061-074",-0.286149161962754,-16.1707042402782,-26.3160000615559,-25.8822719197089,0.0245651512981624,9.24711936263807,2.64550172691671,3.49868791457711,-0.735594953260516,84.2594965236711,2
"433","US16-IL-061-132",-1.80931017734171,2.31996051877464,-31.7211220557994,-21.8267761622398,-0.158105306071263,-0.66513699750486,-3.22739860746844,-1.28413997859753,-1.03674170065895,66.1376934009744,8
